dt_ms,gx,gy,gz,ax,ay,az
5.0,0.0,0.0,0.0,-0.004830813899265184,0.0,-1.0
5.0,0.18849431896676852,0.06283174971759127,0.28274229236240533,-0.004825307527157248,-3.150654325742683e-05,-1.0000008165284975
5.0,0.3769811965005782,0.125662879311179,0.5654783059886402,-0.004814273316900965,-7.934286005558175e-05,-1.0000016574974622
5.0,0.5654531914622452,0.18849276866288012,0.848201762281964,-0.004797714904304686,-0.00014350837207480468,-1.0000025203610734
5.0,0.7539028633001243,0.2513207976670522,1.1309063829244903,-0.004775637187693589,-0.00022400226723059779,-1.0000034016763952
5.0,0.9423227723438488,0.3141463462364135,1.413585890016609,-0.0047480463275753745,-0.0003208234987698189,-1.0000042971039664
5.0,1.1307054800980363,0.3769687943081635,1.696234006216395,-0.004714949746211956,-0.00043397078413269003,-1.0000052014085514
5.0,1.3190435495359472,0.4397875218501022,1.9788444548790074,-0.004676356127096973,-0.0005634426035809931,-1.0000061084600553
5.0,1.5073295453930866,0.5026019088667495,2.2614109601960726,-0.004632275414338873,-0.0007092371985929005,-1.0000070112345993
5.0,1.6955560344607357,0.5654113354054651,2.543927247335046,-0.004582718811949298,-0.0008713525700249723,-1.0000079018157622
5.0,1.883715585879401,0.6282151815625658,2.8263870425785598,-0.00452769878303647,-0.0010497864760419316,-1.0000087713959829
5.0,2.071800771432174,0.6910128274894454,3.1087840734637338,-0.004467229048903195,-0.0012445364298148997,-1.0000096102781242
5.0,2.2598041658379815,0.7538036533986907,3.3911120689214713,-0.004401324588049141,-0.0014555996969888723,-1.0000104078772036
5.0,2.447718347044726,0.8165870395701998,3.6733647594157146,-0.004330001635076903,-0.0016829732929202707,-1.000011152722283
5.0,2.635535896522295,0.8793623663572981,3.955535877082671,-0.00425327767950144,-0.0019266539796855104,-1.0000118324585245
5.0,2.8232493995554293,0.9421290141928531,4.23761915587,-0.004171171464462347,-0.0021866382628615766,-1.000012433849408
5.0,3.0108514455364466,1.004886363595391,4.519608331675963,-0.004083702985338418,-0.0024629223880797174,-1.0000129427791118
5.0,3.198334628257797,1.0676337951752095,4.801497142488522,-0.00399089348826396,-0.0027555023373533865,-1.0000133442550578
5.0,3.38569154620445,1.1303706896404906,5.083279328524405,-0.0038927654685461622,-0.0030643738251817216,-1.0000136224106206
5.0,3.5729148028460918,1.193096427803414,5.36494863236811,-0.0037893426689829647,-0.0033895322944298323,-1.0000137605079975
5.0,3.7599970069291277,1.2558103905862676,5.6464987991108595,-0.0036806500780806523,-0.0037309729119873497,-1.0000137409412446
5.0,3.946930772768475,1.3185119590275571,5.9279235764894995,-0.0035667139281705023,-0.00408869056420668,-1.0000135452394763
5.0,4.133708720539142,1.3812005142881159,6.209216715025351,-0.0034475616934237048,-0.004462679852122544,-1.0000131540702293
5.0,4.320323476567564,1.4438754376572118,6.490371968162976,-0.0033232220877637674,-0.0048529350864544175,-1.000012547242989
5.0,4.506767673622711,1.5065361105586546,6.7713830924089,-0.0031937250626755762,-0.005259450282393608,-1.0000117037128813
5.0,4.6930339512069255,1.5691819145568988,7.052243847470258,-0.0030591018049102516,-0.0056822191541767665,-1.0000106015845287
5.0,4.879114955846507,1.631812231363151,7.332947996393366,-0.002919384734084918,-0.006121235109447673,-1.0000092181160705
5.0,5.065003341382017,1.694426442841469,7.613489305702225,-0.00277460750017644,-0.006576491243409256,-1.000007529723348
5.0,5.250691769258282,1.7570239310148634,7.89386154553695,-0.002624804980908186,-0.0070479803327679206,-1.0000055119842535
5.0,5.43617290881412,1.819604078071398,8.1740584897921,-0.0024700132790288435,-0.007535694829472185,-1.0000031396432456
5.0,5.621439437571738,1.882166266370286,8.45407391625496,-0.0023102697194822435,-0.008039626854247913,-1.0000003866160272
5.0,5.806484041525806,1.9447098784479862,8.733901606743686,-0.0021456128464671584,-0.008559768189932329,-0.999997225994391
5.0,5.99129941543221,2.0072342970242976,9.013535347245423,-0.0019760824203860325,-0.009096110274609156,-0.9999936300512289
