dt_ms,gx,gy,gz,ax,ay,az,pos_x_true,pos_y_true,pos_z_true
5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1339897959256961,0.027631829820086554,0.0
5.0,0.24190070842781508,0.08639362601817924,0.37384774855161784,7.538921783520363e-06,-2.110994209845586e-05,-0.9999999997487676,0.13405387445498868,0.027957891052398272,0.00013194678509926804
5.0,0.48378986157443377,0.17278622030558224,0.7476848338106605,-0.006485247805495425,-0.0002178503205316213,-1.0000027378839489,0.13411635747975806,0.0282839142453193,0.0002638929320901335
5.0,0.72565590471064,0.2591767511437538,1.121500592788703,-0.0064634649385399805,-0.00029153680187536804,-1.0000054699171494,0.13417724480185803,0.028609896703415773,0.0003958378028672797
5.0,0.9674872842111533,0.34556418683888124,1.4952843631056119,-0.006434075699778361,-0.0003861192856745808,-1.0000082366874847,0.1342365362447182,0.028935835731342324,0.000527780759331562
5.0,1.2092724481065296,0.43194749573411423,1.8690254832936688,-0.006397089642483438,-0.0005015967564792751,-1.0000110315215156,0.1342942316533437,0.029261728633863813,0.0006597211633930935
5.0,1.4509998466349834,0.5183256462218857,2.2427132931016684,-0.00635251844949727,-0.0006379679480440884,-1.0000138462512917,0.1343503308943153,0.029587572715876944,0.0007916583769743308
5.0,1.6926579327941065,0.6046976067562316,2.6163371337989836,-0.006300375939995744,-0.000795231339708305,-1.0000166712160652,0.13440483385578855,0.02991336528243194,0.0009235917620131602
5.0,1.9342351628924515,0.6910623458651095,2.989886348479582,-0.006240678061130024,-0.0009733851533315024,-1.000019495264346,0.1344577404474932,0.030239103638754195,0.0010555206804659836
5.0,2.175719997100959,0.7774188321627165,3.363350282365997,-0.006173442893072529,-0.0011724273491422938,-1.0000223057562705,0.13450905060073176,0.030564785090265955,0.0011874444943108025
5.0,2.4171009000042027,0.8637660343618068,3.7367182831132335,-0.006098690641768602,-0.0013923556216397224,-1.0000250885662776,0.13455876426837837,0.030890406942607924,0.0013193625655503068
5.0,2.6583663411514165,0.9501029212860069,4.109979701112605,-0.00601644364225916,-0.0016331673938561318,-1.0000278280861683,0.13460688142487687,0.031215966501660995,0.0014512742562149562
5.0,2.8995047956072932,1.036428461882131,4.483123889795496,-0.005926726354124285,-0.0018948598128774945,-1.0000305072283946,0.13465340206623866,0.03154146107356783,0.001583178928366069
5.0,3.1405047445025143,1.122741625232493,4.856140205937032,-0.005829565359115667,-0.0021774297427922962,-1.000033107429784,0.13469832621004055,0.03186688796475457,0.0017150759440989049
5.0,3.3813546755839905,1.2090413805672189,5.229018009959657,-0.005724989360983766,-0.00248087375888621,-1.0000356086554814,0.13474165389542195,0.032192244481952445,0.0018469646655457515
5.0,3.622043083764788,1.2953266972765558,5.60174666623661,-0.005613029181152137,-0.002805188140158916,-1.0000379894033191,0.134783385183082,0.03251752793221944,0.0019788444548790077
5.0,3.862558471673711,1.3815965449231797,5.974315543395287,-0.00549371775771331,-0.0031503688619002688,-1.0000402267084185,0.13482352015527618,0.03284273562296194,0.00211071467431427
5.0,4.102889350204518,1.4678498932545017,6.346714014620473,-0.005367090141063223,-0.00351641158761432,-1.0000422961481996,0.13486205891581282,0.03316786486195637,0.0022425746861134146
5.0,4.343024239064737,1.5540857122149712,6.718931457957459,-0.005233183491493883,-0.0039033116604603874,-1.0000441718476558,0.13489900159004933,0.03349291295737085,0.0023744238525876837
5.0,4.582951667324067,1.6403029719583768,7.090957256615011,-0.005092037077834634,-0.004311064093900901,-1.0000458264849934,0.1349343483248878,0.03381787721778682,0.0025062615361007693
